,PRN,Y,M,D,H,min,sec,af0,af1,af2,IODE,Crs,deltaN,M0,Cuc,Eccentricity,Cus,sqrtA,Toe,Cic,Omega0,Cis,Io,Crc,omega,OmegaDot,IDOT,L2_codes,GPSWeek,L2_dataflag,SV_acc,SV_health,TGD,IODC,msg_trans_t,fit_int
0,1.0,20.0,8.0,5.0,22.0,0.0,0.0,3.184610977769e-05,2.84217094304e-12,0.0,39.0,26.40625,4.458042838236e-09,-1.047492034168,1.642853021622e-06,0.01007490092888,1.6223639249799999e-06,5153.701227187999,338400.0,1.899898052216e-07,1.821410626732,8.568167686462001e-08,0.9807250762331,357.375,0.8170312784379,-8.355348033783e-09,2.310810540249e-10,1.0,2117.0,0.0,2.0,0.0,5.122274160385e-09,39.0,331218.0,4.0
1,2.0,20.0,8.0,5.0,22.0,0.0,0.0,-0.0004979530349374001,-5.570655048359e-12,0.0,37.0,43.0625,5.0455675193460005e-09,-0.7990660709607,2.4978071451189997e-06,0.01975495170336,2.996996045113e-06,5153.747674942,338400.0,-3.1478703022e-07,1.743639142575,1.5832483768459998e-07,0.9596530447613001,329.8125,-1.612795107344,-8.845368881794e-09,3.432285844429e-10,1.0,2117.0,0.0,2.0,0.0,-1.769512891769e-08,37.0,331140.0,0.0
2,3.0,20.0,8.0,5.0,22.0,0.0,0.0,-0.0002614581026137,-1.125499693444e-11,0.0,29.0,-118.40625,4.488401245642e-09,-2.142558379322,-6.113201379776e-06,0.003126260591671,7.3537230491640005e-06,5153.779632568,338400.0,9.499490261078e-08,2.861619003906,3.166496753693e-08,0.966737067565,240.125,0.8170366531990001,-8.10819488172e-09,-2.16794744657e-10,1.0,2117.0,0.0,2.0,0.0,1.862645149231e-09,29.0,331218.0,4.0
3,4.0,20.0,8.0,5.0,22.0,0.0,0.0,-0.0001211087219417,-4.433786671143e-12,0.0,35.0,3.21875,4.427327273095e-09,0.2340158631743,6.332993507385e-08,0.0008009390439838001,1.115351915359e-05,5153.654741287,338400.0,-5.2154064178470006e-08,-2.342760833849,-1.4901161193850002e-08,0.9601615243643,159.84375,-2.711447382164,-7.920329913532e-09,3.285851154604e-10,1.0,2117.0,0.0,2.0,0.0,-4.1909520000000005e-09,35.0,331200.0,4.0
4,6.0,20.0,8.0,5.0,22.0,0.0,0.0,-0.0003121723420918,-4.433786671143e-12,0.0,89.0,34.03125,4.4644714591870004e-09,-0.7734551108585,1.523643732071e-06,0.0017627144698049999,2.283602952957e-06,5153.586942673,338400.0,-4.4703483581540004e-08,1.813157409078,-4.4703483581540004e-08,0.9802640580813,347.5625,-1.081334023845,-8.334275491961001e-09,2.485817940379e-10,1.0,2117.0,0.0,2.0,0.0,4.19095158577e-09,89.0,345600.0,0.0
5,8.0,20.0,8.0,5.0,22.0,0.0,0.0,-4.347041249275e-05,-1.2505552149379999e-12,0.0,61.0,94.34375,3.976237117342e-09,1.250436070321,4.902482032775999e-06,0.005379177280702,1.004710793495e-05,5153.7080631260005,338400.0,9.313225746155e-09,0.7503779117034001,1.1362135410309999e-07,0.9694766406049,190.03125,-0.05983355425056,-7.781753019742001e-09,1.3179120295080002e-10,1.0,2117.0,0.0,2.8,0.0,5.122274160385e-09,61.0,345600.0,0.0
6,9.0,20.0,8.0,5.0,22.0,0.0,0.0,-0.0002656579017639,-6.139089236967e-12,0.0,31.0,-7.03125,4.550546691392e-09,1.500630062191,-5.010515451431e-07,0.001605443889275,1.176632940769e-05,5153.68655777,338400.0,-2.0489096641539998e-08,-2.391229476397,-5.587935447693e-09,0.9529516364779002,145.5625,1.777891643158,-7.921401386735e-09,3.3679974334690004e-10,1.0,2117.0,0.0,2.0,0.0,1.396983861923e-09,31.0,335538.0,4.0
7,10.0,20.0,8.0,5.0,22.0,0.0,0.0,-0.0004197093658149,-1.034550223267e-11,0.0,100.0,-105.21875,4.396969011111e-09,-3.082900699166,-5.414709448814e-06,0.005767273716629,7.256865501404e-06,5153.673358917,338400.0,-1.117587089539e-07,2.858611405256,-7.078051567078001e-08,0.9666696416707,244.53125,-2.650196789871,-7.94497356793e-09,-2.4465304782059996e-10,1.0,2117.0,0.0,2.0,0.0,2.3283064365390003e-09,100.0,345600.0,0.0
8,11.0,20.0,8.0,5.0,22.0,0.0,0.0,-0.00020087603479620003,1.057287590811e-11,0.0,65.0,111.71875,5.677379342781001e-09,-1.564509484626,6.074085831641999e-06,0.01607158663683,4.556030035019e-06,5153.721055984,338400.0,-2.5145709514619995e-07,1.34203489378,2.384185791016e-07,0.9129889979764001,273.75,2.01990068152,-8.897870632027e-09,4.393040130612001e-10,1.0,2117.0,0.0,2.0,0.0,-1.210719347e-08,65.0,331218.0,4.0
9,12.0,20.0,8.0,5.0,22.0,0.0,0.0,8.437130600214e-05,-4.888534022029e-12,0.0,71.0,-23.9375,3.948378751538e-09,-2.463992480571,-1.13807618618e-06,0.007930167252198,9.505078196525999e-06,5153.6495189669995,338400.0,1.117587089539e-08,-0.21002702028560002,-9.872019290924e-08,0.9776322801599999,205.0625,1.167321516335,-7.551028816374e-09,-5.018066165455e-10,1.0,2117.0,0.0,2.0,0.0,-1.210719347e-08,71.0,332148.0,4.0
10,13.0,20.0,8.0,5.0,22.0,0.0,0.0,3.317324444652e-05,3.410605131648e-12,0.0,86.0,7.28125,4.415898313681e-09,0.4484363365905,5.755573511124e-07,0.0043015009723600004,1.0356307029720001e-05,5153.6650905609995,338400.0,6.332993507385e-08,-2.247258896679,2.793967723846e-08,0.9679015810773001,181.96875,1.048208410522,-7.96711763229e-09,3.5465763659200003e-10,1.0,2117.0,0.0,2.0,0.0,-1.117587089539e-08,86.0,331140.0,0.0
11,15.0,20.0,8.0,5.0,22.0,0.0,0.0,-0.00021260278299450002,2.614797267597e-12,0.0,13.0,-18.6875,5.307720929437e-09,0.2624783592887,-6.910413503647e-07,0.01252844720148,1.0464340448380001e-05,5153.729457855,338400.0,-4.842877388e-08,-2.482556545268,1.341104507446e-07,0.9285844405492001,160.15625,0.8995997997140001,-8.483567626172e-09,1.8250760625e-10,1.0,2117.0,0.0,2.0,0.0,-1.071020960808e-08,13.0,331140.0,0.0
12,17.0,20.0,8.0,5.0,22.0,0.0,0.0,0.0003067329525948,5.570655048359e-12,0.0,102.0,96.28125,3.755513677817e-09,1.022559751021,4.993751645088e-06,0.01328520290554,1.0216608643530002e-05,5153.7426433559995,338400.0,-2.1792948245999998e-07,0.8240566294492,-1.173466444016e-07,0.9838137775985001,192.625,-1.639040635959,-7.917829947246001e-09,2.2465221349850003e-10,1.0,2117.0,0.0,2.8,0.0,-1.117587089539e-08,102.0,345600.0,0.0
13,18.0,20.0,8.0,5.0,22.0,0.0,0.0,0.00026337057352070003,8.526512829121e-12,0.0,195.0,23.625,4.71376777592e-09,-0.5116061501297,1.1362135410309998e-06,0.0008613070240243999,1.9632279872889997e-06,5153.714771271,338400.0,9.313225746155e-09,1.83760092398,4.656612873077e-08,0.9643465380012,341.0625,2.631450354881,-8.435351366243e-09,2.107230631757e-10,1.0,2117.0,0.0,2.0,0.0,-8.381903e-09,963.0000000000001,331200.0,4.0
14,19.0,20.0,8.0,5.0,22.0,0.0,0.0,-0.0001223515719175,5.115907697473e-12,0.0,44.0,108.15625,3.715154751108e-09,-2.651643394951,5.528330802916999e-06,0.009398705908097,9.540468454361e-06,5153.7024993899995,338400.0,8.940696716309e-08,0.8695796630377001,6.332993507385e-08,0.98203881763,199.28125,1.688203150792,-7.572101122691001e-09,3.3715690108110003e-10,1.0,2117.0,0.0,2.0,0.0,-1.536682248116e-08,44.0,331218.0,4.0
15,20.0,20.0,8.0,5.0,22.0,0.0,0.0,0.0005271201953292,-1.136868377216e-13,0.0,85.0,-101.96875000000001,5.224503496493e-09,-1.559172003144,-5.358830094336999e-06,0.005420442786999,5.8468431234359995e-06,5153.663612365999,338400.0,-4.842877388e-08,2.725479104287,-1.396983861923e-07,0.9350736452506001,255.15625000000003,2.687850839776,-8.550713026523001e-09,-1.807218125149e-10,1.0,2117.0,0.0,2.0,0.0,-8.847564458847e-09,85.0,331140.0,0.0
16,21.0,20.0,8.0,5.0,22.0,0.0,0.0,3.226660192013e-05,4.433786671143e-12,0.0,21.0,49.0,4.861631097697e-09,2.499908550151,2.3003667593e-06,0.023798186914060004,1.236796379089e-06,5155.080656052,338400.0,3.5762786865229997e-07,1.745484786356,-1.862645149231e-08,0.9536630023377001,349.9375,-1.305214892971,-8.132124307281e-09,7.536028051591e-11,1.0,2117.0,0.0,2.0,0.0,-1.0244548320769999e-08,21.0,345600.0,0.0
17,22.0,20.0,8.0,5.0,22.0,0.0,0.0,-0.0007665650919080001,3.069544618484e-12,0.0,189.0,-111.375,5.447012604224e-09,0.16233392035080002,-5.818903446198e-06,0.00686007970944,6.05545938015e-06,5153.77202034,338400.0,-5.2154064178470006e-08,2.772694349346,-2.0489096641539998e-08,0.9317974036392,250.0,-1.110135647777,-8.722506184537001e-09,-2.264380034803e-10,1.0,2117.0,0.0,2.0,0.0,-1.8160790204999998e-08,189.0,331218.0,4.0
18,23.0,20.0,8.0,5.0,22.0,0.0,0.0,3.00919637084e-05,1.273292582482e-11,0.0,39.0,-102.4375,4.561975738887e-09,-0.6961841933804,-5.321577191352999e-06,0.0009145013755187,6.975606083869999e-06,5153.638837814,338400.0,-2.2351741790770002e-08,2.836717000238,-5.587935447693e-08,0.9615735606899,247.03125,1.681121481823,-8.157839806773e-09,-2.4251010151910003e-10,1.0,2117.0,0.0,64.0,63.0,-8.381903171539e-09,295.0,331218.0,4.0
19,24.0,20.0,8.0,5.0,22.0,0.0,0.0,-1.672888174653e-05,-5.684341886081e-13,0.0,112.00000000000001,22.375,5.522372781286e-09,-0.7659298339262001,1.115724444389e-06,0.009856750955805,4.807487130164999e-06,5153.635944366,338400.0,1.415610313416e-07,-1.3905359385,1.769512891769e-07,0.9356741058279001,272.625,0.6700645678845001,-8.646074078911001e-09,4.285892821199e-11,1.0,2117.0,0.0,2.8,0.0,2.793967723846e-09,112.00000000000001,331140.0,0.0
20,25.0,20.0,8.0,5.0,22.0,0.0,0.0,3.180000931025e-05,4.6611603465859995e-12,0.0,24.0,-30.59375,4.2487484059970004e-09,-2.68540890766,-1.4826655387879998e-06,0.009085347526707,8.901581168175e-06,5153.754621506,338400.0,1.117587089539e-08,-0.27979896117270003,-6.705522537231e-08,0.9649110400522001,208.84375,0.9374310060727,-7.728536210269e-09,-4.660908431259e-10,1.0,2117.0,0.0,2.0,0.0,5.587935447693e-09,24.0,331224.0,4.0
21,26.0,20.0,8.0,5.0,22.0,0.0,0.0,0.000256210565567,6.707523425575e-12,0.0,5.0,-28.5,4.762341227771e-09,3.013783352677,-1.493841409683e-06,0.004823735682294,8.54954123497e-06,5153.657300949,338400.0,-4.2840838432310007e-08,-0.3163729518262,2.0489096641539998e-08,0.9459266175491001,207.4375,0.2081298978799,-8.089622679541e-09,-5.246647115340001e-10,1.0,2117.0,0.0,2.0,0.0,6.984919e-09,5.0,331200.0,4.0
22,27.0,20.0,8.0,5.0,22.0,0.0,0.0,-0.00036395434290170003,-9.436007530894001e-12,0.0,64.0,93.59375,3.853732000181e-09,1.099738141856,4.79444861412e-06,0.008308255579323,9.719282388687e-06,5153.672750473001,338400.0,-9.126961231232e-08,0.7652278102613,5.587935447693e-08,0.9779214771205,201.375,0.5799475955909,-7.789609846043e-09,8.250343463967e-11,1.0,2117.0,0.0,2.0,0.0,1.862645149231e-09,64.0,345600.0,0.0
23,28.0,20.0,8.0,5.0,22.0,0.0,0.0,0.0006924783810973,-3.865352482535e-12,0.0,83.0,-25.5625,3.935521073107e-09,1.868533623103,-1.4286488294599998e-06,0.018380744266319998,9.80868935585e-06,5153.663663864,338400.0,4.041939973831e-07,-0.1875006712299,-1.862645149231e-07,0.9768828169876,193.875,-1.401472428792,-7.499598102649e-09,-5.528801725355e-10,1.0,2117.0,0.0,2.0,0.0,-1.117587089539e-08,83.0,331218.0,4.0
24,29.0,20.0,8.0,5.0,22.0,0.0,0.0,-0.0001663253642619,-8.4128259914e-12,0.0,72.0,89.375,3.6762246580220003e-09,1.306890942122,4.693865776062e-06,0.0016329947393390002,9.441748261451999e-06,5153.771747589,338400.0,5.4016709327700004e-08,0.8359338155645001,-2.0489096641539998e-08,0.9855060475855,209.875,2.138862834668,-7.667105172970001e-09,2.760829342918e-10,1.0,2117.0,0.0,2.8,0.0,-1.0244548320769999e-08,72.0,331140.0,0.0
25,30.0,20.0,8.0,5.0,22.0,0.0,0.0,-0.00027651200070980003,-7.503331289627e-12,0.0,23.0,13.4375,5.428083316161e-09,-1.813002771323,6.183981895447e-07,0.004780533839948,4.641711711884e-06,5153.60210228,338400.0,-5.587935447693e-09,-1.295549323001,-7.078051567078001e-08,0.9376800166736001,277.21875,-2.816284165951,-8.486067848423e-09,1.0500437325200001e-10,1.0,2117.0,0.0,2.0,0.0,3.725290298462e-09,23.0,331140.0,0.0
26,31.0,20.0,8.0,5.0,22.0,0.0,0.0,-6.0289166867730007e-05,-2.387423592154e-12,0.0,19.0,14.46875,5.040209944975001e-09,-2.087674283625,7.245689630507999e-07,0.009568425477482,4.6659260988240005e-06,5153.618747711,338400.0,7.450580596924e-09,-1.301316526428,-1.396983861923e-07,0.9567896430205001,289.125,0.14407649498720002,-8.293559745767002e-09,1.207193141583e-10,1.0,2117.0,0.0,2.0,0.0,-1.3038516044620001e-08,19.0,331656.0,4.0
27,32.0,20.0,8.0,5.0,22.0,0.0,0.0,0.0003283098340034,5.684341886081e-12,0.0,89.0,-1.53125,4.508759143818e-09,1.794118178349,-7.636845111847e-08,0.004104127408937,1.1004507541660001e-05,5153.746702194,338400.0,-1.303851604462e-07,-2.382518121077,1.117587089539e-08,0.9570374057523001,167.375,-2.4355029746,-7.931402201677e-09,3.0751282076300004e-10,1.0,2117.0,0.0,2.0,0.0,4.656612873077e-10,89.0,345600.0,0.0
28,13.0,20.0,8.0,5.0,23.0,59.0,28.0,3.319792449474e-05,3.410605131648e-12,0.0,18.0,5.03125,4.369467720155e-09,1.493788121608,3.185123205185e-07,0.004302564775571,1.1008232831950001e-05,5153.667325974,345568.0,-1.359730958939e-07,-2.247316572224,4.2840838432310007e-08,0.9679048901980001,171.0625,1.048373644193,-7.872113619416001e-09,5.010923010771e-10,1.0,2117.0,0.0,2.0,0.0,-1.117587089539e-08,18.0,338418.0,4.0
29,2.0,20.0,8.0,5.0,23.0,59.0,44.0,-0.0004979916848242001,-5.570655048359e-12,0.0,6.0,44.96875,4.8980611667650004e-09,0.2487457336925,2.171844244003e-06,0.01975519605912,2.607703208923e-06,5153.748229979999,345584.0,-3.278255462646e-07,1.743575991327,-1.080334186554e-07,0.9596553122843,329.0625,-1.612802228829,-8.858940439e-09,2.1429464051770001e-10,1.0,2117.0,0.0,2.0,0.0,-1.769512891769e-08,6.0,338418.0,4.0
30,3.0,20.0,8.0,5.0,23.0,59.0,44.0,-0.0002615377306938,-1.125499693444e-11,0.0,2.0,-102.9375,4.504830286578e-09,-1.095472089873,-5.2172690629960004e-06,0.003126594587229,7.212162017822e-06,5153.775506973,345584.0,3.725290298462e-08,2.861560668585,9.313225746155e-09,0.9667358255475,244.1875,0.8177344490307,-8.067479129181e-09,-1.750072864404e-10,1.0,2117.0,0.0,2.0,0.0,1.862645149231e-09,2.0,345600.0,0.0
31,6.0,20.0,8.0,5.0,23.0,59.0,44.0,-0.0003122049383819,-4.433786671143e-12,0.0,6.0,33.5,4.36732477375e-09,0.2743734208,1.6950070857999998e-06,0.0017625598702580001,1.814216375351e-06,5153.586601257,345584.0,-2.2351741790770002e-08,1.813097580118,-4.842877388e-08,0.9802658194346,349.3125,-1.081263065004,-8.341061724415002e-09,2.3893852417720003e-10,1.0,2117.0,0.0,2.0,0.0,4.19095158577e-09,6.0,339378.0,4.0
32,10.0,20.0,8.0,5.0,23.0,59.0,44.0,-0.0004197852686048,-1.034550223267e-11,0.0,3.0,-107.43750000000001,4.408040755448e-09,-2.035134495132,-5.718320608139e-06,0.005767689552158,6.893649697304e-06,5153.6722450259995,345584.0,7.82310962677e-08,2.858553273281,-9.499490261078e-08,0.9666681099955,249.03125,-2.65011600022,-8.033191757538002e-09,-1.303625729816e-10,1.0,2117.0,0.0,2.0,0.0,2.3283064365390003e-09,3.0,340758.0,4.0
33,11.0,20.0,8.0,5.0,23.0,59.0,44.0,-0.00020079920068380002,1.057287590811e-11,0.0,16.0,89.375,5.7266671101000005e-09,-0.5168573121302,4.516914486885e-06,0.0160706298193,4.427507519722e-06,5153.715431213,345584.0,-2.793967723846e-07,1.34196989633,-4.842877388e-08,0.9129921110661,272.8125,2.020078153964,-9.01644699978e-09,4.557332688342e-10,1.0,2117.0,0.0,2.0,0.0,-1.210719347e-08,16.0,342861.0,4.0
34,12.0,20.0,8.0,5.0,23.0,59.0,44.0,8.433638140559e-05,-4.888534022029e-12,0.0,5.0,-21.5625,4.110885520597e-09,-1.416173084836,-1.1529773473739999e-06,0.007930261315778,9.531155228615e-06,5153.648910522,345584.0,1.788139343262e-07,-0.210080854208,1.396983861923e-07,0.9776273662182,204.75,1.167360020339,-7.763180510486001e-09,-6.585988618576e-10,1.0,2117.0,0.0,2.0,0.0,-1.210719347e-08,5.0,344826.0,4.0
35,15.0,20.0,8.0,5.0,23.0,59.0,44.0,-0.000212584156543,2.614797267597e-12,0.0,18.0,-29.90625,5.217717338871e-09,1.310052521677,-1.3113021850590001e-06,0.01253101869952,1.2056902050970001e-05,5153.737041472999,345584.0,-2.384185791016e-07,-2.482617898589,1.6205012798309999e-07,0.9285859853907001,134.1875,0.8998426163197,-8.419993583673e-09,2.7465429759680003e-10,1.0,2117.0,0.0,2.0,0.0,-1.071020960808e-08,18.0,338418.0,4.0
36,17.0,20.0,8.0,5.0,23.0,59.0,44.0,0.00030677253380420003,5.570655048359e-12,0.0,72.0,103.96875000000001,3.556576717125e-09,2.070386723209,5.329027771949999e-06,0.01328472001478,1.0134652256970001e-05,5153.741939545,345584.0,2.3096799850459997e-07,0.8240011424293,-1.676380634308e-07,0.9838175855742,191.09375,-1.639067755534,-7.46388232923e-09,2.4536736339270003e-10,1.0,2117.0,0.0,2.0,0.0,-1.117587089539e-08,72.0,338418.0,4.0
37,19.0,20.0,8.0,5.0,23.0,59.0,44.0,-0.000122313387692,5.115907697473e-12,0.0,22.0,114.28125,3.6833677127640002e-09,-1.603836912394,6.224960088729999e-06,0.009399280999787001,9.782612323761e-06,5153.701648712001,345584.0,-1.862645149231e-08,0.8695251825054999,2.123415470123e-07,0.9820404341545,201.9375,1.688220910617,-7.728179052535e-09,2.939408152434e-10,1.0,2117.0,0.0,2.0,0.0,-1.536682248116e-08,22.0,338418.0,4.0
